question,summary_answer,difficulty,text,id
best AI models for easy manipulation,"The chapter suggests that open models might be easier to manipulate due to their accessible components, while proprietary models are generally easier to get started with and scale.",beginner,"In general, you want a model that is easy to use and manipulate. Typically,
proprietary models are easier to get started with and scale, but open models
might be easier to manipulate as their components are more accessible.
Regardless of whether you go with open or proprietary models, you want
this model to follow a standard API, which makes it easier to swap models.
Many model developers try to make their models mimic the API of the most
popular models. As of this writing, many API providers mimic OpenAI’s
API.
You might also prefer models with good community support. The more
capabilities a model has, the more quirks it has. A model with a large
community of users means that any issue you encounter may already have
19
been experienced by others, who might have shared solutions online.
Control, access, and transparency
A 2024 study by a16z shows two key reasons that enterprises care about
open source models are control and customizability, as shown in Figure 4-8.",51d7582f
benefits of open source AI models,"It highlights how open source models offer greater control and customizability, which are key factors for enterprises based on recent studies.",intermediate,"In general, you want a model that is easy to use and manipulate. Typically,
proprietary models are easier to get started with and scale, but open models
might be easier to manipulate as their components are more accessible.
Regardless of whether you go with open or proprietary models, you want
this model to follow a standard API, which makes it easier to swap models.
Many model developers try to make their models mimic the API of the most
popular models. As of this writing, many API providers mimic OpenAI’s
API.
You might also prefer models with good community support. The more
capabilities a model has, the more quirks it has. A model with a large
community of users means that any issue you encounter may already have
19
been experienced by others, who might have shared solutions online.
Control, access, and transparency
A 2024 study by a16z shows two key reasons that enterprises care about
open source models are control and customizability, as shown in Figure 4-8.",e5d1ff37
advantages of open source AI models,"The text highlights that open-source models offer businesses more control and customization compared to proprietary models, which often impose limitations and safety guardrails that might restrict usability.",beginner,"Figure 4-8. Why enterprises care about open source models. Image from the 2024 study by a16z.
If your business depends on a model, it’s understandable that you would
want some control over it, and API providers might not always give you the
level of control you want. When using a service provided by someone else,
you’re subject to their terms and conditions, and their rate limits. You can
access only what’s made available to you by this provider, and thus might
not be able to tweak the model as needed.
To protect their users and themselves from potential lawsuits, model
providers use safety guardrails such as blocking requests to tell racist jokes
or generate photos of real people. Proprietary models are more likely to err
on the side of over-censoring. These safety guardrails are good for the vast",2fbf1f93
disadvantages of proprietary AI models,"The section explains that proprietary AI models can limit user control, subjecting them to terms and conditions that may hinder model tweaking and customization, alongside potential over-censorship practices.",intermediate,"Figure 4-8. Why enterprises care about open source models. Image from the 2024 study by a16z.
If your business depends on a model, it’s understandable that you would
want some control over it, and API providers might not always give you the
level of control you want. When using a service provided by someone else,
you’re subject to their terms and conditions, and their rate limits. You can
access only what’s made available to you by this provider, and thus might
not be able to tweak the model as needed.
To protect their users and themselves from potential lawsuits, model
providers use safety guardrails such as blocking requests to tell racist jokes
or generate photos of real people. Proprietary models are more likely to err
on the side of over-censoring. These safety guardrails are good for the vast",d9cdfe4f
limitations of commercial AI models,"The text outlines how commercial AI models may not support certain functionalities, like generating real faces for specific applications, which can hinder their usability in some contexts.",beginner,"majority of use cases but can be a limiting factor for certain use cases. For
example, if your application requires generating real faces (e.g., to aid in
the production of a music video) a model that refuses to generate real faces
won’t work. A company I advise, Convai, builds 3D AI characters that can
interact in 3D environments, including picking up objects. When working
with commercial models, they ran into an issue where the models kept
responding: “As an AI model, I don’t have physical abilities”. Convai ended
up finetuning open source models.
There’s also the risk of losing access to a commercial model, which can be
painful if you’ve built your system around it. You can’t freeze a commercial
model the way you can with open source models. Historically, commercial
models lack transparency in model changes, versions, and roadmaps.
Models are frequently updated, but not all changes are announced in
advance or even announced at all. Your prompts might stop working as
expected and you have no idea. Unpredictable changes also make
commercial models unusable for strictly regulated applications. However, I
suspect that this historical lack of transparency in model changes might just
be an unintentional side effect of a fast-growing industry. I hope that this
will change as the industry matures.
A less common situation that unfortunately exists is that a model provider
can stop supporting your use case, your industry, or your country, or your
country can ban your model provider, as Italy briefly banned OpenAI in
2023. A model provider can also go out of business altogether.",6dfa62c7
why finetuning open source models is necessary,The text explains that a company faced limitations with commercial models and found success by finetuning open-source models to better meet their specific use cases.,intermediate,"majority of use cases but can be a limiting factor for certain use cases. For
example, if your application requires generating real faces (e.g., to aid in
the production of a music video) a model that refuses to generate real faces
won’t work. A company I advise, Convai, builds 3D AI characters that can
interact in 3D environments, including picking up objects. When working
with commercial models, they ran into an issue where the models kept
responding: “As an AI model, I don’t have physical abilities”. Convai ended
up finetuning open source models.
There’s also the risk of losing access to a commercial model, which can be
painful if you’ve built your system around it. You can’t freeze a commercial
model the way you can with open source models. Historically, commercial
models lack transparency in model changes, versions, and roadmaps.
Models are frequently updated, but not all changes are announced in
advance or even announced at all. Your prompts might stop working as
expected and you have no idea. Unpredictable changes also make
commercial models unusable for strictly regulated applications. However, I
suspect that this historical lack of transparency in model changes might just
be an unintentional side effect of a fast-growing industry. I hope that this
will change as the industry matures.
A less common situation that unfortunately exists is that a model provider
can stop supporting your use case, your industry, or your country, or your
country can ban your model provider, as Italy briefly banned OpenAI in
2023. A model provider can also go out of business altogether.",3a8aeee9
risks of relying on commercial AI models,"The chapter discusses various risks associated with commercial AI models, including the lack of transparency, potential changes without notice, and losing access entirely if a model provider discontinues support or ceases operations.",expert,"majority of use cases but can be a limiting factor for certain use cases. For
example, if your application requires generating real faces (e.g., to aid in
the production of a music video) a model that refuses to generate real faces
won’t work. A company I advise, Convai, builds 3D AI characters that can
interact in 3D environments, including picking up objects. When working
with commercial models, they ran into an issue where the models kept
responding: “As an AI model, I don’t have physical abilities”. Convai ended
up finetuning open source models.
There’s also the risk of losing access to a commercial model, which can be
painful if you’ve built your system around it. You can’t freeze a commercial
model the way you can with open source models. Historically, commercial
models lack transparency in model changes, versions, and roadmaps.
Models are frequently updated, but not all changes are announced in
advance or even announced at all. Your prompts might stop working as
expected and you have no idea. Unpredictable changes also make
commercial models unusable for strictly regulated applications. However, I
suspect that this historical lack of transparency in model changes might just
be an unintentional side effect of a fast-growing industry. I hope that this
will change as the industry matures.
A less common situation that unfortunately exists is that a model provider
can stop supporting your use case, your industry, or your country, or your
country can ban your model provider, as Italy briefly banned OpenAI in
2023. A model provider can also go out of business altogether.",f9f4f882
pros and cons of on-device model deployment,"The text outlines the benefits of deploying models locally, particularly for use cases with unreliable internet access or privacy concerns, as well as a comparative summary in a table.",beginner,"On-device deployment
If you want to run a model on-device, third-party APIs are out of the
question. In many use cases, running a model locally is desirable. It could
be because your use case targets an area without reliable internet access. It
could be for privacy reasons, such as when you want to give an AI assistant
access to all your data, but don’t want your data to leave your device.
Table 4-4 summarizes the pros and cons of using model APIs and self-
hosting models.",0a894baf
model APIs vs self-hosting pros and cons,"The chapter outlines that using model APIs involves sending data externally, which can risk confidentiality, while self-hosting eliminates this risk but may have performance and functionality limitations.",beginner,"Table 4-4. Pros and cons of using model APIs and self-hosting models (cons in italics).
Using model APIs Self-hosting models
Data
Have to send your Don’t have to send your
data to model data externally
providers, which Fewer checks and
means your team can balances for data
accidentally leak lineage/training data
confidential info copyright
Performance
Best-performing The best open source
model will likely be models will likely be a bit
closed source behind commercial
models
Functionality
More likely to No/limited support for
support scaling, function calling and
function calling, structured outputs
structured outputs Can access logprobs and
Less likely to expose intermediate outputs,
logprobs which are helpful for
classification tasks,",6430e845
costs of hosting AI models,"The chapter outlines the costs associated with self-hosting models, highlighting the time, talent, and engineering effort required, which can be alleviated by using model hosting services.",beginner,"Using model APIs Self-hosting models
evaluation, and
interpretability
Cost
API cost Talent, time, engineering
effort to optimize, host,
maintain (can be
mitigated by using model
hosting services)
Finetuning
Can only finetune Can finetune, quantize,
models that model and optimize models (if
providers let you their licenses allow), but
it can be hard to do so
Control,
Rate limits Easier to inspect changes
access, and
Risk of losing access in open source models
transparency
to the model You can freeze a model
Lack of transparency to maintain its access, but
in model changes and you’re responsible for
versioning",8aeabb11
pros and cons of using model APIs versus self-hosting AI models,"The chapter outlines the advantages and disadvantages of using commercial model APIs versus self-hosted solutions, helping you determine which option best fits your needs.",beginner,"Using model APIs Self-hosting models
building and maintaining
model APIs
Edge use cases
Can’t run on device Can run on device, but
without internet again, might be hard to
access do so
The pros and cons of each approach hopefully can help you decide whether
to use a commercial API or to host a model yourself. This decision should
significantly narrow your options. Next, you can further refine your
selection using publicly available model performance data.
Navigate Public Benchmarks
There are thousands of benchmarks designed to evaluate a model’s different
capabilities. Google’s BIG-bench (2022) alone has 214 benchmarks. The
number of benchmarks rapidly grows to match the rapidly growing number
of AI use cases. In addition, as AI models improve, old benchmarks
saturate, necessitating the introduction of new benchmarks.",b4d47fba
how to evaluate AI model performance using benchmarks,"The text explains the significance of navigating public benchmarks for evaluating AI model capabilities, referencing tools like Google's BIG-bench and the growing demand for new benchmarks as models evolve.",intermediate,"Using model APIs Self-hosting models
building and maintaining
model APIs
Edge use cases
Can’t run on device Can run on device, but
without internet again, might be hard to
access do so
The pros and cons of each approach hopefully can help you decide whether
to use a commercial API or to host a model yourself. This decision should
significantly narrow your options. Next, you can further refine your
selection using publicly available model performance data.
Navigate Public Benchmarks
There are thousands of benchmarks designed to evaluate a model’s different
capabilities. Google’s BIG-bench (2022) alone has 214 benchmarks. The
number of benchmarks rapidly grows to match the rapidly growing number
of AI use cases. In addition, as AI models improve, old benchmarks
saturate, necessitating the introduction of new benchmarks.",85961116
what is an evaluation harness in AI,"An evaluation harness is a tool designed to assess AI models across multiple benchmarks, enabling comprehensive performance evaluations; examples include EleutherAI's lm-evaluation-harness and OpenAI's evals.",beginner,"A tool that helps you evaluate a model on multiple benchmarks is an
evaluation harness. As of this writing, EleutherAI’s lm-evaluation-harness
supports over 400 benchmarks. OpenAI’s evals lets you run any of the
approximately 500 existing benchmarks and register new benchmarks to
evaluate OpenAI models. Their benchmarks evaluate a wide range of
capabilities, from doing math and solving puzzles to identifying ASCII art
that represents words.
Benchmark selection and aggregation
Benchmark results help you identify promising models for your use cases.
Aggregating benchmark results to rank models gives you a leaderboard.
There are two questions to consider:
What benchmarks to include in your leaderboard?
How to aggregate these benchmark results to rank models?
Given so many benchmarks out there, it’s impossible to look at them all, let
alone aggregate their results to decide which model is the best. Imagine that
you’re considering two models, A and B, for code generation. If model A
performs better than model B on a coding benchmark but worse on a
toxicity benchmark, which model would you choose? Similarly, which
model would you choose if one model performs better in one coding
benchmark but worse in another coding benchmark?",dd0e651a
how to select benchmarks for AI model evaluation,"When selecting benchmarks for AI evaluation, consider the specific capabilities you want to assess in models, focusing on relevance to your use cases and the diversity of tasks represented.",intermediate,"A tool that helps you evaluate a model on multiple benchmarks is an
evaluation harness. As of this writing, EleutherAI’s lm-evaluation-harness
supports over 400 benchmarks. OpenAI’s evals lets you run any of the
approximately 500 existing benchmarks and register new benchmarks to
evaluate OpenAI models. Their benchmarks evaluate a wide range of
capabilities, from doing math and solving puzzles to identifying ASCII art
that represents words.
Benchmark selection and aggregation
Benchmark results help you identify promising models for your use cases.
Aggregating benchmark results to rank models gives you a leaderboard.
There are two questions to consider:
What benchmarks to include in your leaderboard?
How to aggregate these benchmark results to rank models?
Given so many benchmarks out there, it’s impossible to look at them all, let
alone aggregate their results to decide which model is the best. Imagine that
you’re considering two models, A and B, for code generation. If model A
performs better than model B on a coding benchmark but worse on a
toxicity benchmark, which model would you choose? Similarly, which
model would you choose if one model performs better in one coding
benchmark but worse in another coding benchmark?",9051a096
how to aggregate benchmark results for model ranking,"To aggregate benchmark results for ranking models, you need to establish a consistent method for combining scores from various benchmarks, taking into account their importance and relevance to specific performance metrics.",expert,"A tool that helps you evaluate a model on multiple benchmarks is an
evaluation harness. As of this writing, EleutherAI’s lm-evaluation-harness
supports over 400 benchmarks. OpenAI’s evals lets you run any of the
approximately 500 existing benchmarks and register new benchmarks to
evaluate OpenAI models. Their benchmarks evaluate a wide range of
capabilities, from doing math and solving puzzles to identifying ASCII art
that represents words.
Benchmark selection and aggregation
Benchmark results help you identify promising models for your use cases.
Aggregating benchmark results to rank models gives you a leaderboard.
There are two questions to consider:
What benchmarks to include in your leaderboard?
How to aggregate these benchmark results to rank models?
Given so many benchmarks out there, it’s impossible to look at them all, let
alone aggregate their results to decide which model is the best. Imagine that
you’re considering two models, A and B, for code generation. If model A
performs better than model B on a coding benchmark but worse on a
toxicity benchmark, which model would you choose? Similarly, which
model would you choose if one model performs better in one coding
benchmark but worse in another coding benchmark?",0385e3e2
how to create an AI model leaderboard,The section provides guidance on deriving inspiration from existing public leaderboards and emphasizes the importance of selecting relevant benchmarks for accurate evaluation.,beginner,"For inspiration on how to create your own leaderboard from public
benchmarks, it’s useful to look into how public leaderboards do so.
Public leaderboards
Many public leaderboards rank models based on their aggregated
performance on a subset of benchmarks. These leaderboards are immensely
helpful but far from being comprehensive. First, due to the compute
constraint—evaluating a model on a benchmark requires compute—most
leaderboards can incorporate only a small number of benchmarks. Some
leaderboards might exclude an important but expensive benchmark. For
example, HELM (Holistic Evaluation of Language Models) Lite left out an
information retrieval benchmark (MS MARCO, Microsoft Machine
Reading Comprehension) because it’s expensive to run. Hugging Face
opted out of HumanEval due to its large compute requirements—you need
to generate a lot of completions.
When Hugging Face first launched Open LLM Leaderboard in 2023, it
consisted of four benchmarks. By the end of that year, they extended it to
six benchmarks. A small set of benchmarks is not nearly enough to
represent the vast capabilities and different failure modes of foundation
models.
Additionally, while leaderboard developers are generally thoughtful about
how they select benchmarks, their decision-making process isn’t always
clear to users. Different leaderboards often end up with different",646878fd
limitations of public machine learning leaderboards,"It highlights that public leaderboards often incorporate a limited number of benchmarks due to compute constraints, which can lead to an incomplete representation of model capabilities.",intermediate,"For inspiration on how to create your own leaderboard from public
benchmarks, it’s useful to look into how public leaderboards do so.
Public leaderboards
Many public leaderboards rank models based on their aggregated
performance on a subset of benchmarks. These leaderboards are immensely
helpful but far from being comprehensive. First, due to the compute
constraint—evaluating a model on a benchmark requires compute—most
leaderboards can incorporate only a small number of benchmarks. Some
leaderboards might exclude an important but expensive benchmark. For
example, HELM (Holistic Evaluation of Language Models) Lite left out an
information retrieval benchmark (MS MARCO, Microsoft Machine
Reading Comprehension) because it’s expensive to run. Hugging Face
opted out of HumanEval due to its large compute requirements—you need
to generate a lot of completions.
When Hugging Face first launched Open LLM Leaderboard in 2023, it
consisted of four benchmarks. By the end of that year, they extended it to
six benchmarks. A small set of benchmarks is not nearly enough to
represent the vast capabilities and different failure modes of foundation
models.
Additionally, while leaderboard developers are generally thoughtful about
how they select benchmarks, their decision-making process isn’t always
clear to users. Different leaderboards often end up with different",59e5f761
benchmark selection criteria for AI leaderboards,"The chapter mentions that while leaderboard developers thoughtfully select benchmarks, their decision-making processes are not always transparent to users, leading to variability across different leaderboards.",expert,"For inspiration on how to create your own leaderboard from public
benchmarks, it’s useful to look into how public leaderboards do so.
Public leaderboards
Many public leaderboards rank models based on their aggregated
performance on a subset of benchmarks. These leaderboards are immensely
helpful but far from being comprehensive. First, due to the compute
constraint—evaluating a model on a benchmark requires compute—most
leaderboards can incorporate only a small number of benchmarks. Some
leaderboards might exclude an important but expensive benchmark. For
example, HELM (Holistic Evaluation of Language Models) Lite left out an
information retrieval benchmark (MS MARCO, Microsoft Machine
Reading Comprehension) because it’s expensive to run. Hugging Face
opted out of HumanEval due to its large compute requirements—you need
to generate a lot of completions.
When Hugging Face first launched Open LLM Leaderboard in 2023, it
consisted of four benchmarks. By the end of that year, they extended it to
six benchmarks. A small set of benchmarks is not nearly enough to
represent the vast capabilities and different failure modes of foundation
models.
Additionally, while leaderboard developers are generally thoughtful about
how they select benchmarks, their decision-making process isn’t always
clear to users. Different leaderboards often end up with different",1ed6d1d2
best benchmarks for evaluating LLMs,"The chapter outlines several benchmarks such as MMLU, HellaSwag, and TruthfulQA that are used for assessing the capabilities of language models across different cognitive tasks.",beginner,"benchmarks, making it hard to compare and interpret their rankings. For
example, in late 2023, Hugging Face updated their Open LLM Leaderboard
to use the average of six different benchmarks to rank models:
1. ARC-C (Clark et al., 2018): Measuring the ability to solve complex,
grade school-level science questions.
2. MMLU (Hendrycks et al., 2020): Measuring knowledge and reasoning
capabilities in 57 subjects, including elementary mathematics, US
history, computer science, and law.
3. HellaSwag (Zellers et al., 2019): Measuring the ability to predict the
completion of a sentence or a scene in a story or video. The goal is to test
common sense and understanding of everyday activities.
4. TruthfulQA (Lin et al., 2021): Measuring the ability to generate
responses that are not only accurate but also truthful and non-misleading,
focusing on a model’s understanding of facts.
5. WinoGrande (Sakaguchi et al., 2019): Measuring the ability to solve
challenging pronoun resolution problems that are designed to be difficult
for language models, requiring sophisticated commonsense reasoning.
6. GSM-8K (Grade School Math, OpenAI, 2021): Measuring the ability to
solve a diverse set of math problems typically encountered in grade
school curricula.
At around the same time, Stanford’s HELM Leaderboard used ten
benchmarks, only two of which (MMLU and GSM-8K) were in the",f47cfe31
differences between Hugging Face and Stanford LLM rankings,"The text explains that Hugging Face and Stanford utilize different sets of benchmarks, with Hugging Face using six key tests and Stanford employing ten, impacting the way models are ranked and compared.",intermediate,"benchmarks, making it hard to compare and interpret their rankings. For
example, in late 2023, Hugging Face updated their Open LLM Leaderboard
to use the average of six different benchmarks to rank models:
1. ARC-C (Clark et al., 2018): Measuring the ability to solve complex,
grade school-level science questions.
2. MMLU (Hendrycks et al., 2020): Measuring knowledge and reasoning
capabilities in 57 subjects, including elementary mathematics, US
history, computer science, and law.
3. HellaSwag (Zellers et al., 2019): Measuring the ability to predict the
completion of a sentence or a scene in a story or video. The goal is to test
common sense and understanding of everyday activities.
4. TruthfulQA (Lin et al., 2021): Measuring the ability to generate
responses that are not only accurate but also truthful and non-misleading,
focusing on a model’s understanding of facts.
5. WinoGrande (Sakaguchi et al., 2019): Measuring the ability to solve
challenging pronoun resolution problems that are designed to be difficult
for language models, requiring sophisticated commonsense reasoning.
6. GSM-8K (Grade School Math, OpenAI, 2021): Measuring the ability to
solve a diverse set of math problems typically encountered in grade
school curricula.
At around the same time, Stanford’s HELM Leaderboard used ten
benchmarks, only two of which (MMLU and GSM-8K) were in the",5a2f2e35
how to interpret LLM evaluation results,"The chapter illustrates the challenges in comparing LLMs due to the variety of benchmarks used, emphasizing the need for contextual understanding in evaluating model performance based on specific tests.",expert,"benchmarks, making it hard to compare and interpret their rankings. For
example, in late 2023, Hugging Face updated their Open LLM Leaderboard
to use the average of six different benchmarks to rank models:
1. ARC-C (Clark et al., 2018): Measuring the ability to solve complex,
grade school-level science questions.
2. MMLU (Hendrycks et al., 2020): Measuring knowledge and reasoning
capabilities in 57 subjects, including elementary mathematics, US
history, computer science, and law.
3. HellaSwag (Zellers et al., 2019): Measuring the ability to predict the
completion of a sentence or a scene in a story or video. The goal is to test
common sense and understanding of everyday activities.
4. TruthfulQA (Lin et al., 2021): Measuring the ability to generate
responses that are not only accurate but also truthful and non-misleading,
focusing on a model’s understanding of facts.
5. WinoGrande (Sakaguchi et al., 2019): Measuring the ability to solve
challenging pronoun resolution problems that are designed to be difficult
for language models, requiring sophisticated commonsense reasoning.
6. GSM-8K (Grade School Math, OpenAI, 2021): Measuring the ability to
solve a diverse set of math problems typically encountered in grade
school curricula.
At around the same time, Stanford’s HELM Leaderboard used ten
benchmarks, only two of which (MMLU and GSM-8K) were in the",371dd624
what benchmarks are on Hugging Face leaderboard,"The Hugging Face leaderboard includes benchmarks for competitive math, legal, medical, translation, reading comprehension, and general question answering, selected for their ability to test various reasoning skills and knowledge areas.",beginner,"Hugging Face leaderboard. The other eight benchmarks are:
A benchmark for competitive math (MATH)
One each for legal (LegalBench), medical (MedQA), and translation
(WMT 2014)
Two for reading comprehension—answering questions based on a book
or a long story (NarrativeQA and OpenBookQA)
Two for general question answering (Natural Questions under two
settings, with and without Wikipedia pages in the input)
Hugging Face explained they chose these benchmarks because “they test a
variety of reasoning and general knowledge across a wide variety of
20
fields.” The HELM website explained that their benchmark list was
“inspired by the simplicity” of the Hugging Face’s leaderboard but with a
broader set of scenarios.
Public leaderboards, in general, try to balance coverage and the number of
benchmarks. They try to pick a small set of benchmarks that cover a wide
range of capabilities, typically including reasoning, factual consistency, and
domain-specific capabilities such as math and science.
At a high level, this makes sense. However, there’s no clarity on what
coverage means or why it stops at six or ten benchmarks. For example, why
are medical and legal tasks included in HELM Lite but not general science?
Why does HELM Lite have two math tests but no coding? Why does",24dfa9e5
why are certain benchmarks chosen for AI evaluation,"Benchmarks are chosen for their ability to assess a range of reasoning and knowledge across multiple domains, but there is a lack of clarity on what specific coverage implies in the context of AI evaluations.",intermediate,"Hugging Face leaderboard. The other eight benchmarks are:
A benchmark for competitive math (MATH)
One each for legal (LegalBench), medical (MedQA), and translation
(WMT 2014)
Two for reading comprehension—answering questions based on a book
or a long story (NarrativeQA and OpenBookQA)
Two for general question answering (Natural Questions under two
settings, with and without Wikipedia pages in the input)
Hugging Face explained they chose these benchmarks because “they test a
variety of reasoning and general knowledge across a wide variety of
20
fields.” The HELM website explained that their benchmark list was
“inspired by the simplicity” of the Hugging Face’s leaderboard but with a
broader set of scenarios.
Public leaderboards, in general, try to balance coverage and the number of
benchmarks. They try to pick a small set of benchmarks that cover a wide
range of capabilities, typically including reasoning, factual consistency, and
domain-specific capabilities such as math and science.
At a high level, this makes sense. However, there’s no clarity on what
coverage means or why it stops at six or ten benchmarks. For example, why
are medical and legal tasks included in HELM Lite but not general science?
Why does HELM Lite have two math tests but no coding? Why does",62dd85c5
limitations of the HELM Lite benchmarks,"The HELM Lite benchmarks include various tasks but omit others like general science and coding, raising questions about the criteria for selection and the coverage of capabilities being evaluated.",expert,"Hugging Face leaderboard. The other eight benchmarks are:
A benchmark for competitive math (MATH)
One each for legal (LegalBench), medical (MedQA), and translation
(WMT 2014)
Two for reading comprehension—answering questions based on a book
or a long story (NarrativeQA and OpenBookQA)
Two for general question answering (Natural Questions under two
settings, with and without Wikipedia pages in the input)
Hugging Face explained they chose these benchmarks because “they test a
variety of reasoning and general knowledge across a wide variety of
20
fields.” The HELM website explained that their benchmark list was
“inspired by the simplicity” of the Hugging Face’s leaderboard but with a
broader set of scenarios.
Public leaderboards, in general, try to balance coverage and the number of
benchmarks. They try to pick a small set of benchmarks that cover a wide
range of capabilities, typically including reasoning, factual consistency, and
domain-specific capabilities such as math and science.
At a high level, this makes sense. However, there’s no clarity on what
coverage means or why it stops at six or ten benchmarks. For example, why
are medical and legal tasks included in HELM Lite but not general science?
Why does HELM Lite have two math tests but no coding? Why does",feb2ea5e
importance of benchmark selection in AI,"The chapter emphasizes the difficulty of explaining benchmark selection processes, highlighting the critical role benchmarks play in accurately evaluating model performance.",beginner,"neither have tests for summarization, tool use, toxicity detection, image
search, etc.? These questions aren’t meant to criticize these public
leaderboards but to highlight the challenge of selecting benchmarks to rank
models. If leaderboard developers can’t explain their benchmark selection
processes, it might be because it’s really hard to do so.
An important aspect of benchmark selection that is often overlooked is
benchmark correlation. It is important because if two benchmarks are
perfectly correlated, you don’t want both of them. Strongly correlated
21
benchmarks can exaggerate biases.
NOTE
While I was writing this book, many benchmarks became saturated or close to being saturated. In
June 2024, less than a year after their leaderboard’s last revamp, Hugging Face updated their
leaderboard again with an entirely new set of benchmarks that are more challenging and focus on
more practical capabilities. For example, GSM-8K was replaced by MATH lvl 5, which consists of
the most challenging questions from the competitive math benchmark MATH. MMLU was replaced
by MMLU-PRO (Wang et al., 2024). They also included the following benchmarks:
22
GPQA (Rein et al., 2023): a graduate-level Q&A benchmark
MuSR (Sprague et al., 2023): a chain-of-thought, multistep reasoning benchmark
BBH (BIG-bench Hard) (Srivastava et al., 2023): another reasoning benchmark
IFEval (Zhou et al., 2023): an instruction-following benchmark
I have no doubt that these benchmarks will soon become saturated. However, discussing specific
23
benchmarks, even if outdated, can still be useful as examples to evaluate and interpret benchmarks.",140de9f5
how do correlated benchmarks affect evaluations,"It explains that using highly correlated benchmarks can lead to exaggerated biases, making it crucial to choose diverse benchmarks for accurate evaluation.",beginner,"neither have tests for summarization, tool use, toxicity detection, image
search, etc.? These questions aren’t meant to criticize these public
leaderboards but to highlight the challenge of selecting benchmarks to rank
models. If leaderboard developers can’t explain their benchmark selection
processes, it might be because it’s really hard to do so.
An important aspect of benchmark selection that is often overlooked is
benchmark correlation. It is important because if two benchmarks are
perfectly correlated, you don’t want both of them. Strongly correlated
21
benchmarks can exaggerate biases.
NOTE
While I was writing this book, many benchmarks became saturated or close to being saturated. In
June 2024, less than a year after their leaderboard’s last revamp, Hugging Face updated their
leaderboard again with an entirely new set of benchmarks that are more challenging and focus on
more practical capabilities. For example, GSM-8K was replaced by MATH lvl 5, which consists of
the most challenging questions from the competitive math benchmark MATH. MMLU was replaced
by MMLU-PRO (Wang et al., 2024). They also included the following benchmarks:
22
GPQA (Rein et al., 2023): a graduate-level Q&A benchmark
MuSR (Sprague et al., 2023): a chain-of-thought, multistep reasoning benchmark
BBH (BIG-bench Hard) (Srivastava et al., 2023): another reasoning benchmark
IFEval (Zhou et al., 2023): an instruction-following benchmark
I have no doubt that these benchmarks will soon become saturated. However, discussing specific
23
benchmarks, even if outdated, can still be useful as examples to evaluate and interpret benchmarks.",a44cbc7e
recent benchmark updates in AI leaderboards,"The text mentions that Hugging Face updated their benchmarks to include more challenging tasks, showcasing the dynamic nature of benchmark selection in AI evaluation.",intermediate,"neither have tests for summarization, tool use, toxicity detection, image
search, etc.? These questions aren’t meant to criticize these public
leaderboards but to highlight the challenge of selecting benchmarks to rank
models. If leaderboard developers can’t explain their benchmark selection
processes, it might be because it’s really hard to do so.
An important aspect of benchmark selection that is often overlooked is
benchmark correlation. It is important because if two benchmarks are
perfectly correlated, you don’t want both of them. Strongly correlated
21
benchmarks can exaggerate biases.
NOTE
While I was writing this book, many benchmarks became saturated or close to being saturated. In
June 2024, less than a year after their leaderboard’s last revamp, Hugging Face updated their
leaderboard again with an entirely new set of benchmarks that are more challenging and focus on
more practical capabilities. For example, GSM-8K was replaced by MATH lvl 5, which consists of
the most challenging questions from the competitive math benchmark MATH. MMLU was replaced
by MMLU-PRO (Wang et al., 2024). They also included the following benchmarks:
22
GPQA (Rein et al., 2023): a graduate-level Q&A benchmark
MuSR (Sprague et al., 2023): a chain-of-thought, multistep reasoning benchmark
BBH (BIG-bench Hard) (Srivastava et al., 2023): another reasoning benchmark
IFEval (Zhou et al., 2023): an instruction-following benchmark
I have no doubt that these benchmarks will soon become saturated. However, discussing specific
23
benchmarks, even if outdated, can still be useful as examples to evaluate and interpret benchmarks.",ce9f751b
evaluating bias in AI models with benchmarks,The chapter suggests that understanding benchmark correlation is vital to identifying and mitigating biases when evaluating AI systems.,expert,"neither have tests for summarization, tool use, toxicity detection, image
search, etc.? These questions aren’t meant to criticize these public
leaderboards but to highlight the challenge of selecting benchmarks to rank
models. If leaderboard developers can’t explain their benchmark selection
processes, it might be because it’s really hard to do so.
An important aspect of benchmark selection that is often overlooked is
benchmark correlation. It is important because if two benchmarks are
perfectly correlated, you don’t want both of them. Strongly correlated
21
benchmarks can exaggerate biases.
NOTE
While I was writing this book, many benchmarks became saturated or close to being saturated. In
June 2024, less than a year after their leaderboard’s last revamp, Hugging Face updated their
leaderboard again with an entirely new set of benchmarks that are more challenging and focus on
more practical capabilities. For example, GSM-8K was replaced by MATH lvl 5, which consists of
the most challenging questions from the competitive math benchmark MATH. MMLU was replaced
by MMLU-PRO (Wang et al., 2024). They also included the following benchmarks:
22
GPQA (Rein et al., 2023): a graduate-level Q&A benchmark
MuSR (Sprague et al., 2023): a chain-of-thought, multistep reasoning benchmark
BBH (BIG-bench Hard) (Srivastava et al., 2023): another reasoning benchmark
IFEval (Zhou et al., 2023): an instruction-following benchmark
I have no doubt that these benchmarks will soon become saturated. However, discussing specific
23
benchmarks, even if outdated, can still be useful as examples to evaluate and interpret benchmarks.",da1bc8f7
